date,kpi001,kpi002,kpi003,kpi004,kpi005,kpi006,kpi007,kpi008,kpi009
2025-08-12,292.30564,499.78484000000003,148619.5,29011.61,1236407979.628,154242156.84,13188232450.0,4771540967.0,17964168963.0
2025-08-13,286.31793,479.58439,150774.821,29291.66,1205540014.741,150055445.12,14062090342.0,4883790555.0,18950299159.0
2025-08-14,287.06698,460.46936,150091.371,29121.68,1257499103.305,155215812.986,13211502194.0,4757214099.0,17973179987.0
2025-08-15,286.16462,471.11101,155236.146,30256.63,1296939696.93,158105937.555,13992716055.0,4891536853.0,18888614380.0
2025-08-16,288.38627,478.8439,144533.252,28719.47,1263576523.472,155434656.845,13698877984.0,4820669871.0,18523943401.0
2025-08-17,285.05464,473.46606,137954.739,27908.59,1324228097.011,165949575.889,13225443948.0,4762198576.0,17992072144.0
2025-08-18,284.8307,466.88557000000003,140011.581,27815.03,1288733292.477,161706701.727,13620393316.0,4829556744.0,18462954400.0
2025-08-19,283.68376,467.48333,145716.914,28852.81,1276225882.6,159061246.817,13629331189.0,4840413367.0,18482715206.0
2025-08-20,286.3711,477.87991,144084.677,28673.59,1345578725.371,167313089.087,13966211641.0,4856055297.0,18835271278.0
2025-08-21,290.39968,479.22297,142736.839,28838.31,1292048509.993,163060386.66,13712569392.0,4836608375.0,18562249487.0
2025-08-22,288.75552,495.97676,158146.963,30822.49,1326620677.789,165312956.844,13804671145.0,4841073140.0,18658546485.0
2025-08-23,292.49955,496.13038,154978.358,30853.96,1347899645.747,171639854.018,13618439672.0,4821218634.0,18452628956.0
2025-08-24,294.59723,483.84421,153496.832,30702.99,1344239915.566,171948416.923,13663624377.0,4849538000.0,18526166717.0
2025-08-25,291.91419,477.88143,140920.536,28562.06,1298853487.124,165417196.356,13598221780.0,4859604448.0,18483506774.0
2025-08-26,293.00092,502.34118,145850.765,28830.33,1302685188.218,163806576.661,0.0,172647384.0,471789248.0
